,acc_train_teacher,acc_train_baseline,acc_train_student,time_train_teacher,time_train_baseline,time_train_student,acc_test_teacher,acc_test_baseline,acc_test_student,time_test_teacher,time_test_baseline,time_test_student,total_time
1,99.44648888888891,98.41151111111114,99.29386666666667,28.585750516255697,17.0154087861379,9.397597153981527,89.01693333333333,87.82199999999997,88.63553333333333,16.732399214638605,10.026649162504409,9.269735185305278,10644.385669708252
2,99.42502222222227,98.51222222222222,98.8512,28.6854527870814,17.312368228700425,9.570484149456025,88.96297777777777,87.92497777777777,88.64653333333334,18.060486782921686,10.670358808835347,9.616660900910695,11082.93096613884
3,99.43524444444444,98.36004444444441,98.97946666666667,29.21627529197269,17.31717953681946,9.345229089260101,88.98777777777781,87.87373333333336,88.63359999999997,17.62667600048913,10.52123003270891,9.50952955087026,10988.649845838547
4,99.40648888888892,98.14644444444444,98.97111111111113,29.377196945084467,17.1020595603519,9.116730606555938,88.98195555555554,87.62475555555555,88.57786666666668,17.565392043855454,10.488888862397935,9.279994018872578,10940.634306430817
5,99.42893333333336,98.60804444444443,98.99164444444445,28.793837372461955,16.99574195014106,9.375551935036977,88.95226666666667,88.12204444444444,88.6461777777778,17.9333626959059,10.631496591038173,9.380958755811056,10990.491827249527
6,99.32244444444441,98.84119999999999,98.97657777777778,28.684494892756145,16.15074970457289,8.909749309221903,88.94453333333334,88.26653333333337,88.61471111111109,18.457058437665303,10.200983362727696,9.230375464757284,10869.64925956726
7,99.2943111111111,98.38444444444448,98.8696,28.97212018171946,17.35853493478563,9.032528348763783,88.9097777777778,87.7570222222222,88.61208888888883,18.85318791601393,10.661781125598484,9.364712742964427,11192.564813613892
8,99.4433777777778,98.3284,98.92413333333336,28.800632582770454,17.05738455719418,9.506853365898133,88.98551111111114,87.79693333333333,88.6697777777778,18.28130103217231,10.571114693747626,9.544874648253122,11075.075010299683
9,99.51800000000003,97.98204444444443,98.80844444444446,29.837009072303772,17.172385160128275,9.909752329190573,88.98746666666668,87.41204444444442,88.62768888888885,18.497480771276685,10.00187324417962,9.427804990609486,11124.917048692703
10,99.36035555555556,98.30133333333328,98.91604444444442,28.508419341511196,17.219460688696966,9.346292606989543,88.87266666666663,87.85257777777778,88.57053333333333,16.760716356171503,9.918192595905728,9.02095752954483,10588.444622039795
